Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Harvested Area,Flag,Flag Description
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1981","1981","ha","230000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1982","1982","ha","239700","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1983","1983","ha","255300","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1984","1984","ha","296300","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1985","1985","ha","348700","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1986","1986","ha","374100","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1987","1987","ha","421600","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1988","1988","ha","535000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1989","1989","ha","590000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1990","1990","ha","673033","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1991","1991","ha","772245","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1992","1992","ha","875100","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1993","1993","ha","921000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1994","1994","ha","1045000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1995","1995","ha","1190000","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1996","1996","ha","1428350","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1997","1997","ha","1622503","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1998","1998","ha","1795081","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","1999","1999","ha","1847000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2000","2000","ha","2014000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2001","2001","ha","2200000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2002","2002","ha","2790000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2003","2003","ha","3040000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2004","2004","ha","3320000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2005","2005","ha","3690000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2006","2006","ha","4110000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2007","2007","ha","4560000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2008","2008","ha","4980000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2009","2009","ha","5370000","T","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2010","2010","ha","8385394","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2011","2011","ha","8992824","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2012","2012","ha","9572715","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2013","2013","ha","10465020","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2014","2014","ha","10465020","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2015","2015","ha","10754801","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2016","2016","ha","11201465","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2017","2017","ha","14048722","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2018","2018","ha","14326350","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2019","2019","ha","14595579","A","Official figure"
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01491.01","Oil palm fruit","2020","2020","ha","14996010","A","Official figure"
