Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Crop Yield,Flag,Flag Description
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1981","1981","hg/ha","165217","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1982","1982","hg/ha","179391","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1983","1983","hg/ha","180180","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1984","1984","hg/ha","211947","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1985","1985","hg/ha","187841","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1986","1986","hg/ha","206496","I","Imputed value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1987","1987","hg/ha","210132","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1988","1988","hg/ha","201605","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1989","1989","hg/ha","173439","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1990","1990","hg/ha","165695","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1991","1991","hg/ha","157375","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1992","1992","hg/ha","151349","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1993","1993","hg/ha","185776","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1994","1994","hg/ha","191770","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1995","1995","hg/ha","188235","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1996","1996","hg/ha","171457","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1997","1997","hg/ha","165978","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1998","1998","hg/ha","164394","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","1999","1999","hg/ha","177450","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2000","2000","hg/ha","180636","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2001","2001","hg/ha","186136","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2002","2002","hg/ha","167742","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2003","2003","hg/ha","173026","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2004","2004","hg/ha","182005","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2005","2005","hg/ha","200542","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2006","2006","hg/ha","195255","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2007","2007","hg/ha","171053","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2008","2008","hg/ha","170683","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2009","2009","hg/ha","167598","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2010","2010","hg/ha","172960","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2011","2011","hg/ha","174948","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2012","2012","hg/ha","172853","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2013","2013","hg/ha","172067","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2014","2014","hg/ha","171281","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2015","2015","hg/ha","170496","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2016","2016","hg/ha","172341","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2017","2017","hg/ha","172848","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2018","2018","hg/ha","171857","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2019","2019","hg/ha","171460","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5419","Yield","01491.01","Oil palm fruit","2020","2020","hg/ha","171065","E","Estimated value"
