PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,-0.25,100.25,24.26,24.57,25.31,25.06,25.16,24.71,24.24,24.64,24.56,24.21,24.12,24.31,24.6
TS,1981,-0.25,100.75,23.16,23.47,24.27,24.2,24.2,23.71,23.13,23.76,23.69,23.44,23.2,23.21,23.62
TS,1981,-0.25,101.25,24.39,24.5,25.51,25.4,25.31,24.99,24.48,24.99,24.95,24.89,24.6,24.44,24.87
TS,1981,-0.25,101.75,24.86,24.98,26.04,25.9,25.88,25.4,24.9,25.39,25.44,25.41,25.23,25.0,25.37
TS,1981,-0.25,102.25,24.92,25.1,26.05,26.03,26.07,25.58,24.98,25.55,25.55,25.55,25.43,25.11,25.49
TS,1981,-0.25,102.75,25.19,25.52,26.52,26.63,26.68,26.11,25.49,26.14,26.1,26.09,25.93,25.48,25.99
TS,1981,-0.25,103.25,25.94,26.41,27.65,27.9,27.97,27.28,26.84,27.42,27.43,27.34,27.02,26.39,27.13
TS,1981,-0.25,103.75,27.01,27.48,28.89,29.4,29.62,29.14,29.06,29.22,29.28,29.12,28.61,27.77,28.72
TS,1981,-0.75,100.25,25.81,26.17,26.8,26.52,26.63,26.3,25.91,26.09,26.02,25.69,25.59,25.75,26.11
TS,1981,-0.75,100.75,23.44,23.9,24.65,24.45,24.51,23.99,23.45,24.0,23.96,23.65,23.42,23.54,23.91
TS,1981,-0.75,101.25,23.81,24.08,24.93,24.91,24.85,24.47,24.0,24.4,24.47,24.35,24.03,23.9,24.35
TS,1981,-0.75,101.75,24.72,24.79,25.89,25.7,25.7,25.2,24.73,25.14,25.33,25.27,25.12,24.92,25.21
TS,1981,-0.75,102.25,24.84,24.9,25.9,25.77,25.88,25.32,24.76,25.3,25.42,25.43,25.35,25.04,25.33
TS,1981,-0.75,102.75,25.08,25.26,26.26,26.28,26.45,25.8,25.21,25.88,25.93,25.92,25.8,25.35,25.77
TS,1981,-0.75,103.25,25.76,26.1,27.3,27.47,27.67,26.96,26.48,27.14,27.15,27.08,26.81,26.23,26.85
TS,1981,-0.75,103.75,26.65,27.03,28.34,28.69,28.96,28.48,28.31,28.6,28.59,28.49,28.02,27.36,28.14
TS,1981,0.25,100.25,23.27,23.54,24.27,24.16,24.23,23.72,23.21,23.76,23.66,23.33,23.21,23.35,23.64
TS,1981,0.25,100.75,23.79,24.01,24.81,24.82,24.79,24.4,23.9,24.47,24.38,24.12,23.92,23.83,24.27
TS,1981,0.25,101.25,24.84,25.0,26.03,25.89,25.82,25.53,25.06,25.54,25.49,25.36,25.12,24.96,25.39
TS,1981,0.25,101.75,24.9,25.21,26.22,26.13,26.11,25.7,25.17,25.64,25.67,25.57,25.36,25.16,25.57
TS,1981,0.25,102.25,24.97,25.37,26.3,26.34,26.36,25.94,25.29,25.83,25.8,25.78,25.57,25.31,25.74
TS,1981,0.25,102.75,25.31,25.82,26.79,27.01,27.03,26.48,25.83,26.39,26.36,26.38,26.1,25.71,26.27
TS,1981,0.25,103.25,25.99,26.6,27.77,28.19,28.21,27.5,27.04,27.47,27.53,27.52,27.09,26.51,27.29
TS,1981,0.25,103.75,26.98,27.5,28.85,29.49,29.67,29.13,28.98,29.1,29.2,29.08,28.49,27.73,28.69
TS,1981,0.75,100.25,23.55,23.83,24.46,24.53,24.58,24.05,23.58,24.13,24.02,23.76,23.54,23.58,23.97
TS,1981,0.75,100.75,24.57,24.82,25.61,25.63,25.61,25.26,24.86,25.32,25.24,24.99,24.78,24.66,25.11
TS,1981,0.75,101.25,24.91,25.27,26.22,26.13,26.1,25.8,25.37,25.78,25.76,25.54,25.27,25.17,25.61
TS,1981,0.75,101.75,24.82,25.31,26.28,26.25,26.26,25.93,25.4,25.83,25.85,25.66,25.36,25.24,25.68
TS,1981,0.75,102.25,25.2,25.73,26.65,26.73,26.79,26.47,25.84,26.3,26.25,26.19,25.85,25.68,26.14
TS,1981,0.75,102.75,25.81,26.38,27.31,27.59,27.71,27.29,26.69,27.08,27.02,27.08,26.67,26.35,26.92
TS,1981,0.75,103.25,26.46,27.07,28.12,28.64,28.8,28.24,27.81,28.03,28.05,28.12,27.61,27.1,27.84
TS,1981,0.75,103.75,27.0,27.55,28.78,29.49,29.7,29.15,28.91,28.99,29.06,29.02,28.4,27.72,28.65
TS,1981,1.25,100.25,24.35,24.7,25.27,25.47,25.54,25.0,24.57,25.04,24.97,24.76,24.46,24.39,24.88
TS,1981,1.25,100.75,24.78,25.16,25.96,26.02,26.04,25.65,25.29,25.67,25.61,25.38,25.1,24.99,25.47
TS,1981,1.25,101.25,24.83,25.36,26.26,26.27,26.24,25.97,25.55,25.94,25.91,25.65,25.29,25.19,25.71
TS,1981,1.25,101.75,25.14,25.72,26.63,26.68,26.79,26.56,26.08,26.42,26.37,26.16,25.78,25.7,26.17
TS,1981,1.25,102.25,25.95,26.49,27.35,27.51,27.74,27.54,27.03,27.32,27.18,27.12,26.71,26.57,27.04
