PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,-0.25,100.75,23.16,23.47,24.27,24.2,24.2,23.71,23.13,23.76,23.69,23.44,23.2,23.21,23.62
TS,1981,-0.25,101.25,24.39,24.5,25.51,25.4,25.31,24.99,24.48,24.99,24.95,24.89,24.6,24.44,24.87
TS,1981,-0.25,101.75,24.86,24.98,26.04,25.9,25.88,25.4,24.9,25.39,25.44,25.41,25.23,25.0,25.37
TS,1981,-0.25,102.25,24.92,25.1,26.05,26.03,26.07,25.58,24.98,25.55,25.55,25.55,25.43,25.11,25.49
TS,1981,-0.25,102.75,25.19,25.52,26.52,26.63,26.68,26.11,25.49,26.14,26.1,26.09,25.93,25.48,25.99
TS,1981,-0.25,103.25,25.94,26.41,27.65,27.9,27.97,27.28,26.84,27.42,27.43,27.34,27.02,26.39,27.13
TS,1981,-0.75,100.75,23.44,23.9,24.65,24.45,24.51,23.99,23.45,24.0,23.96,23.65,23.42,23.54,23.91
TS,1981,-0.75,101.25,23.81,24.08,24.93,24.91,24.85,24.47,24.0,24.4,24.47,24.35,24.03,23.9,24.35
TS,1981,-0.75,101.75,24.72,24.79,25.89,25.7,25.7,25.2,24.73,25.14,25.33,25.27,25.12,24.92,25.21
TS,1981,-0.75,102.25,24.84,24.9,25.9,25.77,25.88,25.32,24.76,25.3,25.42,25.43,25.35,25.04,25.33
TS,1981,-0.75,102.75,25.08,25.26,26.26,26.28,26.45,25.8,25.21,25.88,25.93,25.92,25.8,25.35,25.77
TS,1981,-0.75,103.25,25.76,26.1,27.3,27.47,27.67,26.96,26.48,27.14,27.15,27.08,26.81,26.23,26.85
TS,1981,0.25,100.75,23.79,24.01,24.81,24.82,24.79,24.4,23.9,24.47,24.38,24.12,23.92,23.83,24.27
TS,1981,0.25,101.25,24.84,25.0,26.03,25.89,25.82,25.53,25.06,25.54,25.49,25.36,25.12,24.96,25.39
TS,1981,0.25,101.75,24.9,25.21,26.22,26.13,26.11,25.7,25.17,25.64,25.67,25.57,25.36,25.16,25.57
TS,1981,0.25,102.25,24.97,25.37,26.3,26.34,26.36,25.94,25.29,25.83,25.8,25.78,25.57,25.31,25.74
TS,1981,0.25,102.75,25.31,25.82,26.79,27.01,27.03,26.48,25.83,26.39,26.36,26.38,26.1,25.71,26.27
TS,1981,0.25,103.25,25.99,26.6,27.77,28.19,28.21,27.5,27.04,27.47,27.53,27.52,27.09,26.51,27.29
TS,1981,0.75,100.75,24.57,24.82,25.61,25.63,25.61,25.26,24.86,25.32,25.24,24.99,24.78,24.66,25.11
TS,1981,0.75,101.25,24.91,25.27,26.22,26.13,26.1,25.8,25.37,25.78,25.76,25.54,25.27,25.17,25.61
TS,1981,0.75,101.75,24.82,25.31,26.28,26.25,26.26,25.93,25.4,25.83,25.85,25.66,25.36,25.24,25.68
TS,1981,0.75,102.25,25.2,25.73,26.65,26.73,26.79,26.47,25.84,26.3,26.25,26.19,25.85,25.68,26.14
TS,1981,0.75,102.75,25.81,26.38,27.31,27.59,27.71,27.29,26.69,27.08,27.02,27.08,26.67,26.35,26.92
TS,1981,0.75,103.25,26.46,27.07,28.12,28.64,28.8,28.24,27.81,28.03,28.05,28.12,27.61,27.1,27.84
TS,1981,1.25,100.75,24.78,25.16,25.96,26.02,26.04,25.65,25.29,25.67,25.61,25.38,25.1,24.99,25.47
TS,1981,1.25,101.25,24.83,25.36,26.26,26.27,26.24,25.97,25.55,25.94,25.91,25.65,25.29,25.19,25.71
TS,1981,1.25,101.75,25.14,25.72,26.63,26.68,26.79,26.56,26.08,26.42,26.37,26.16,25.78,25.7,26.17
TS,1981,1.25,102.25,25.95,26.49,27.35,27.51,27.74,27.54,27.03,27.32,27.18,27.12,26.71,26.57,27.04
TS,1981,1.25,102.75,26.55,27.09,27.91,28.27,28.58,28.31,27.83,28.03,27.87,27.96,27.49,27.21,27.76
TS,1981,1.25,103.25,26.66,27.23,28.11,28.71,29.04,28.58,28.19,28.3,28.22,28.34,27.82,27.35,28.05
TS,1981,1.75,100.75,25.29,25.8,26.6,26.72,26.8,26.47,26.14,26.43,26.39,26.12,25.78,25.6,26.18
TS,1981,1.75,101.25,25.46,26.04,26.96,27.05,27.07,26.88,26.54,26.8,26.75,26.45,26.08,25.94,26.5
TS,1981,1.75,101.75,26.22,26.73,27.58,27.78,28.03,27.91,27.57,27.68,27.56,27.37,27.05,26.92,27.37
TS,1981,1.75,102.25,26.69,27.19,27.96,28.29,28.68,28.48,28.1,28.18,28.01,27.96,27.59,27.39,27.88
TS,1981,1.75,102.75,26.52,27.05,27.81,28.34,28.72,28.33,27.92,28.05,27.89,27.95,27.48,27.12,27.77
TS,1981,1.75,103.25,25.88,26.45,27.28,28.04,28.33,27.69,27.24,27.46,27.39,27.5,26.94,26.41,27.22
TS,1982,-0.25,100.75,23.2,23.41,23.69,24.21,24.1,23.82,23.29,23.6,23.38,23.09,23.51,23.37,23.55
TS,1982,-0.25,101.25,24.28,24.7,24.95,25.29,25.35,24.94,24.34,24.74,24.55,24.05,24.69,24.38,24.69
TS,1982,-0.25,101.75,24.86,25.24,25.38,25.76,25.87,25.28,24.73,25.11,24.73,24.27,25.16,24.92,25.11
TS,1982,-0.25,102.25,24.95,25.38,25.43,25.94,26.07,25.48,24.81,25.11,24.76,24.43,25.39,25.14,25.24
TS,1982,-0.25,102.75,25.24,25.83,25.91,26.73,26.68,26.18,25.46,25.73,25.33,25.29,26.33,25.68,25.86
TS,1982,-0.25,103.25,25.97,26.73,27.07,28.22,27.97,27.62,26.99,27.18,26.55,26.91,28.01,26.78,27.16
TS,1982,-0.75,100.75,23.56,23.73,23.88,24.49,24.38,24.04,23.67,23.95,23.63,23.32,23.79,23.65,23.84
TS,1982,-0.75,101.25,23.72,24.14,24.42,24.74,24.81,24.37,23.77,24.13,23.83,23.31,24.15,23.84,24.1
TS,1982,-0.75,101.75,24.68,25.06,25.27,25.49,25.72,25.11,24.46,24.76,24.33,23.86,24.94,24.75,24.87
TS,1982,-0.75,102.25,24.83,25.21,25.32,25.65,25.89,25.26,24.53,24.81,24.44,24.07,25.13,24.97,25.01
TS,1982,-0.75,102.75,25.12,25.59,25.72,26.31,26.4,25.87,25.09,25.36,24.98,24.8,25.87,25.47,25.55
TS,1982,-0.75,103.25,25.86,26.42,26.77,27.66,27.58,27.22,26.47,26.64,26.08,26.18,27.31,26.54,26.73
TS,1982,0.25,100.75,23.75,24.02,24.36,24.83,24.71,24.5,23.95,24.26,24.11,23.83,24.12,23.86,24.19
TS,1982,0.25,101.25,24.79,25.22,25.4,25.85,25.8,25.49,24.92,25.41,25.38,24.9,25.26,24.86,25.27
TS,1982,0.25,101.75,24.98,25.41,25.5,26.05,26.07,25.52,25.02,25.5,25.16,24.83,25.51,25.11,25.39
TS,1982,0.25,102.25,25.06,25.59,25.64,26.29,26.34,25.78,25.15,25.51,25.11,24.93,25.79,25.36,25.55
TS,1982,0.25,102.75,25.34,26.08,26.2,27.11,27.01,26.54,25.82,26.1,25.62,25.77,26.73,25.9,26.18
TS,1982,0.25,103.25,25.92,26.88,27.25,28.49,28.2,27.88,27.21,27.42,26.72,27.32,28.28,26.81,27.36
TS,1982,0.75,100.75,24.54,24.85,25.23,25.66,25.55,25.27,24.8,25.11,24.95,24.74,24.96,24.64,25.03
TS,1982,0.75,101.25,24.96,25.37,25.62,26.1,26.01,25.71,25.22,25.71,25.68,25.35,25.51,25.11,25.53
TS,1982,0.75,101.75,24.95,25.42,25.64,26.2,26.23,25.71,25.23,25.7,25.4,25.27,25.7,25.22,25.55
TS,1982,0.75,102.25,25.25,25.84,26.04,26.74,26.81,26.35,25.71,26.07,25.61,25.66,26.28,25.76,26.01
TS,1982,0.75,102.75,25.71,26.49,26.79,27.71,27.71,27.44,26.65,26.9,26.27,26.64,27.37,26.53,26.85
TS,1982,0.75,103.25,26.22,27.2,27.73,28.92,28.77,28.72,27.9,27.99,27.19,27.97,28.69,27.33,27.89
TS,1982,1.25,100.75,24.85,25.16,25.68,26.01,25.99,25.59,25.24,25.49,25.26,25.11,25.37,25.06,25.4
TS,1982,1.25,101.25,24.97,25.31,25.81,26.21,26.2,25.81,25.45,25.81,25.6,25.45,25.66,25.27,25.63
TS,1982,1.25,101.75,25.26,25.66,26.11,26.69,26.75,26.46,25.95,26.27,25.87,25.95,26.19,25.76,26.08
TS,1982,1.25,102.25,25.86,26.36,26.8,27.61,27.73,27.68,26.96,27.2,26.58,26.9,27.21,26.73,26.97
TS,1982,1.25,102.75,26.27,26.92,27.45,28.48,28.56,28.74,27.86,27.99,27.21,27.81,28.19,27.46,27.75
TS,1982,1.25,103.25,26.32,27.13,27.84,29.04,28.97,29.24,28.33,28.34,27.46,28.35,28.78,27.63,28.12
TS,1982,1.75,100.75,25.48,25.76,26.42,26.79,26.82,26.45,26.09,26.3,25.94,25.78,26.16,25.85,26.15
TS,1982,1.75,101.25,25.67,25.93,26.64,27.08,27.1,26.87,26.54,26.75,26.29,26.19,26.53,26.22,26.48
TS,1982,1.75,101.75,26.25,26.5,27.17,27.9,27.95,28.17,27.59,27.68,27.0,27.23,27.4,27.11,27.33
TS,1982,1.75,102.25,26.51,26.87,27.52,28.51,28.58,28.93,28.11,28.19,27.44,27.9,28.03,27.62,27.85
TS,1982,1.75,102.75,26.22,26.78,27.52,28.71,28.68,28.92,28.0,28.09,27.31,27.97,28.15,27.42,27.82
TS,1982,1.75,103.25,25.62,26.36,27.24,28.57,28.32,28.38,27.51,27.57,26.76,27.61,27.84,26.72,27.38
TS,1983,-0.25,100.75,23.67,24.45,24.76,24.71,24.25,23.89,23.68,23.95,24.07,23.82,23.18,23.04,23.95
TS,1983,-0.25,101.25,24.85,25.59,25.84,25.77,25.48,25.15,24.8,25.08,25.28,25.18,24.53,24.13,25.14
TS,1983,-0.25,101.75,25.47,26.1,26.36,26.26,25.95,25.65,25.18,25.52,25.77,25.66,24.99,24.65,25.62
TS,1983,-0.25,102.25,25.55,26.2,26.46,26.4,26.03,25.85,25.27,25.68,25.88,25.74,25.14,24.74,25.74
TS,1983,-0.25,102.75,25.79,26.6,27.12,27.24,26.6,26.49,25.7,26.18,26.46,26.35,25.67,25.05,26.27
TS,1983,-0.25,103.25,26.43,27.48,28.52,28.9,27.91,27.86,26.8,27.3,27.71,27.71,26.82,25.91,27.44
TS,1983,-0.75,100.75,24.04,24.65,24.97,24.93,24.42,24.23,23.96,24.1,24.37,24.0,23.34,23.38,24.19
TS,1983,-0.75,101.25,24.33,24.96,25.25,25.28,24.96,24.67,24.24,24.46,24.76,24.63,23.98,23.71,24.6
TS,1983,-0.75,101.75,25.31,25.89,26.19,26.13,25.82,25.45,24.97,25.32,25.59,25.48,24.84,24.54,25.46
TS,1983,-0.75,102.25,25.41,26.0,26.31,26.22,25.84,25.6,25.04,25.48,25.68,25.57,25.01,24.66,25.56
TS,1983,-0.75,102.75,25.59,26.32,26.84,26.86,26.29,26.15,25.47,25.94,26.21,26.13,25.48,24.96,26.02
TS,1983,-0.75,103.25,26.2,27.13,28.06,28.29,27.49,27.41,26.58,26.98,27.39,27.4,26.57,25.81,27.1
TS,1983,0.25,100.75,24.19,24.95,25.27,25.22,24.86,24.5,24.27,24.67,24.62,24.46,23.84,23.54,24.53
TS,1983,0.25,101.25,25.33,26.09,26.35,26.21,25.96,25.66,25.31,25.67,25.73,25.61,24.99,24.53,25.62
TS,1983,0.25,101.75,25.6,26.28,26.57,26.41,26.08,25.92,25.43,25.78,25.95,25.83,25.15,24.75,25.81
TS,1983,0.25,102.25,25.72,26.42,26.72,26.69,26.28,26.16,25.56,25.94,26.15,26.01,25.34,24.87,25.98
TS,1983,0.25,102.75,25.99,26.86,27.4,27.64,26.97,26.83,26.0,26.46,26.75,26.62,25.89,25.2,26.55
TS,1983,0.25,103.25,26.54,27.63,28.69,29.22,28.19,28.09,26.96,27.44,27.79,27.79,26.89,25.93,27.59
TS,1983,0.75,100.75,24.99,25.69,26.02,25.98,25.64,25.35,25.06,25.51,25.39,25.22,24.64,24.27,25.31
TS,1983,0.75,101.25,25.5,26.25,26.59,26.44,26.18,25.94,25.52,25.96,25.93,25.73,25.13,24.67,25.81
TS,1983,0.75,101.75,25.61,26.31,26.67,26.51,26.14,26.12,25.6,25.97,26.02,25.91,25.16,24.78,25.9
TS,1983,0.75,102.25,25.97,26.68,27.08,27.11,26.68,26.63,26.06,26.4,26.52,26.46,25.64,25.18,26.36
TS,1983,0.75,102.75,26.46,27.26,27.92,28.26,27.66,27.53,26.82,27.14,27.31,27.31,26.43,25.76,27.15
TS,1983,0.75,103.25,26.96,27.91,29.05,29.68,28.83,28.69,27.74,28.01,28.19,28.31,27.36,26.41,28.09
TS,1983,1.25,100.75,25.36,26.02,26.4,26.4,25.98,25.77,25.45,25.85,25.72,25.56,24.94,24.62,25.67
TS,1983,1.25,101.25,25.53,26.22,26.67,26.6,26.3,26.08,25.64,26.14,26.05,25.84,25.13,24.78,25.91
TS,1983,1.25,101.75,25.88,26.51,27.0,27.02,26.65,26.73,26.23,26.52,26.47,26.45,25.63,25.26,26.36
TS,1983,1.25,102.25,26.57,27.16,27.76,27.99,27.64,27.66,27.24,27.35,27.32,27.44,26.54,26.07,27.23
TS,1983,1.25,102.75,27.07,27.66,28.52,29.06,28.59,28.46,28.02,28.06,28.03,28.23,27.27,26.63,27.96
TS,1983,1.25,103.25,27.14,27.82,29.01,29.9,29.11,28.91,28.27,28.32,28.3,28.54,27.54,26.68,28.29
TS,1983,1.75,100.75,26.02,26.58,27.05,27.15,26.71,26.54,26.25,26.54,26.4,26.34,25.62,25.29,26.37
TS,1983,1.75,101.25,26.19,26.71,27.28,27.41,27.15,26.98,26.64,26.96,26.84,26.76,25.99,25.63,26.71
TS,1983,1.75,101.75,26.74,27.2,27.88,28.17,27.99,28.11,27.75,27.7,27.64,27.74,27.03,26.51,27.54
TS,1983,1.75,102.25,27.07,27.56,28.4,28.89,28.6,28.65,28.35,28.14,28.07,28.31,27.52,26.92,28.04
TS,1983,1.75,102.75,26.91,27.49,28.6,29.43,28.73,28.56,28.19,28.03,27.96,28.22,27.3,26.63,28.0
TS,1983,1.75,103.25,26.38,27.06,28.43,29.71,28.46,28.12,27.51,27.49,27.49,27.67,26.68,25.88,27.57
TS,1984,-0.25,100.75,22.9,22.98,23.29,23.98,23.63,23.33,23.1,23.25,23.07,23.13,23.32,22.73,23.22
TS,1984,-0.25,101.25,23.94,24.23,24.49,25.2,24.78,24.57,24.38,24.53,24.47,24.49,24.58,23.93,24.46
TS,1984,-0.25,101.75,24.35,24.7,24.96,25.6,25.26,24.99,24.86,24.91,24.89,24.94,25.04,24.49,24.92
TS,1984,-0.25,102.25,24.42,24.81,25.11,25.68,25.44,25.14,24.96,25.03,25.01,25.05,25.18,24.65,25.04
TS,1984,-0.25,102.75,24.71,25.08,25.58,26.18,26.02,25.61,25.38,25.5,25.56,25.58,25.71,25.02,25.49
TS,1984,-0.25,103.25,25.43,25.78,26.59,27.28,27.28,26.76,26.43,26.57,26.73,26.75,26.88,25.93,26.54
TS,1984,-0.75,100.75,23.3,23.16,23.55,24.08,23.86,23.59,23.3,23.32,23.22,23.29,23.52,23.0,23.43
TS,1984,-0.75,101.25,23.47,23.61,23.94,24.63,24.25,24.06,23.86,23.96,23.94,23.96,24.13,23.42,23.93
TS,1984,-0.75,101.75,24.24,24.5,24.78,25.42,25.01,24.86,24.74,24.76,24.75,24.81,24.96,24.4,24.77
TS,1984,-0.75,102.25,24.3,24.68,24.97,25.52,25.17,24.97,24.78,24.83,24.84,24.97,25.08,24.61,24.89
TS,1984,-0.75,102.75,24.56,24.97,25.42,25.98,25.72,25.41,25.12,25.22,25.3,25.46,25.51,24.97,25.3
TS,1984,-0.75,103.25,25.28,25.66,26.4,27.04,26.92,26.55,26.12,26.26,26.38,26.54,26.58,25.82,26.3
TS,1984,0.25,100.75,23.37,23.61,23.83,24.54,24.29,23.93,23.77,23.97,23.78,23.82,23.89,23.31,23.84
TS,1984,0.25,101.25,24.33,24.75,24.95,25.59,25.32,24.99,24.87,25.04,24.95,24.99,24.93,24.4,24.92
TS,1984,0.25,101.75,24.46,24.88,25.14,25.74,25.55,25.14,25.05,25.1,25.12,25.13,25.15,24.61,25.09
TS,1984,0.25,102.25,24.6,24.95,25.35,25.9,25.79,25.34,25.19,25.3,25.3,25.3,25.39,24.78,25.26
TS,1984,0.25,102.75,24.91,25.2,25.84,26.42,26.38,25.83,25.63,25.81,25.88,25.87,25.99,25.18,25.74
TS,1984,0.25,103.25,25.48,25.76,26.66,27.38,27.46,26.82,26.53,26.76,26.93,26.92,27.05,25.99,26.65
TS,1984,0.75,100.75,24.12,24.44,24.61,25.23,25.15,24.68,24.6,24.76,24.58,24.62,24.65,24.08,24.62
TS,1984,0.75,101.25,24.48,24.92,25.13,25.68,25.58,25.14,25.12,25.24,25.13,25.17,25.1,24.57,25.1
TS,1984,0.75,101.75,24.52,24.87,25.26,25.8,25.71,25.21,25.19,25.27,25.25,25.25,25.23,24.68,25.19
TS,1984,0.75,102.25,24.88,25.12,25.73,26.23,26.24,25.76,25.61,25.76,25.72,25.76,25.75,25.15,25.64
TS,1984,0.75,102.75,25.35,25.56,26.4,26.95,27.05,26.59,26.33,26.53,26.55,26.6,26.54,25.83,26.36
TS,1984,0.75,103.25,25.83,26.09,27.09,27.81,27.98,27.5,27.17,27.4,27.5,27.54,27.47,26.59,27.16
TS,1984,1.25,100.75,24.48,24.8,25.0,25.56,25.54,25.06,24.93,25.08,24.93,24.95,24.99,24.45,24.98
TS,1984,1.25,101.25,24.54,24.91,25.24,25.76,25.74,25.28,25.23,25.35,25.21,25.21,25.2,24.68,25.2
TS,1984,1.25,101.75,24.86,25.03,25.72,26.19,26.25,25.88,25.79,25.88,25.71,25.77,25.74,25.27,25.68
TS,1984,1.25,102.25,25.51,25.57,26.53,26.96,27.21,26.94,26.73,26.81,26.62,26.73,26.59,26.18,26.54
TS,1984,1.25,102.75,25.94,26.04,27.12,27.63,27.95,27.73,27.42,27.5,27.4,27.5,27.27,26.83,27.2
TS,1984,1.25,103.25,25.97,26.17,27.29,27.96,28.18,27.92,27.56,27.67,27.68,27.78,27.58,26.95,27.39
TS,1984,1.75,100.75,25.07,25.36,25.76,26.24,26.29,25.98,25.68,25.94,25.72,25.67,25.68,25.22,25.72
TS,1984,1.75,101.25,25.2,25.42,26.05,26.54,26.63,26.37,26.13,26.32,26.06,26.01,26.07,25.64,26.04
TS,1984,1.75,101.75,25.76,25.71,26.8,27.21,27.58,27.53,27.25,27.24,26.93,27.0,27.03,26.8,26.91
TS,1984,1.75,102.25,26.09,26.0,27.29,27.67,28.16,28.11,27.82,27.72,27.43,27.57,27.5,27.29,27.39
TS,1984,1.75,102.75,25.9,25.89,27.19,27.68,28.03,27.85,27.55,27.47,27.31,27.47,27.36,26.97,27.23
TS,1984,1.75,103.25,25.33,25.4,26.66,27.33,27.42,27.03,26.72,26.74,26.71,26.9,26.86,26.16,26.61
