nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2021;Tahun;2860.8;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2020;Tahun;2853.8;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2019;Tahun;2741.5;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2018;Tahun;2706.9;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2017;Tahun;2209.6;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2016;Tahun;2013.1;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2015;Tahun;2400.9;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2014;Tahun;2290.7;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2013;Tahun;2.193.721;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2012;Tahun;2.139.824;RIAU
Luas Tanaman Perkebunan Menurut Provinsi;Kelapa Sawit;2011;Tahun;1919;RIAU
